City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,aykhal,66.0,111.5,-11.07,93,97,4.92,RU,1697580843
247,shahr-e babak,30.1165,55.1186,16.23,42,1,3.0,IR,1697580844
248,saldanha,-33.0117,17.9442,15.14,95,0,6.1,ZA,1697580845
249,nong khai,17.9167,103.0833,23.43,91,100,1.66,TH,1697580846
250,kerikeri,-35.2268,173.9474,19.39,89,100,0.45,NZ,1697580653
251,boise,43.6135,-116.2035,22.5,41,0,5.14,US,1697580659
252,alo,7.4178,6.7371,23.7,92,80,0.59,NG,1697580847
253,puerto deseado,-47.7503,-65.8938,12.73,46,50,7.99,AR,1697580848
254,qamdo,31.1667,97.2333,-2.01,63,13,2.23,CN,1697580727
255,morondava,-20.2833,44.2833,24.63,70,94,2.1,MG,1697580849
256,margate,51.3813,1.3862,12.72,71,100,3.13,GB,1697580849
257,wakkanai,45.4094,141.6739,12.27,67,52,3.13,JP,1697580850
258,sidi ifni,29.3797,-10.173,23.36,67,72,2.58,MA,1697580850
259,praya,14.9215,-23.5087,27.3,78,20,4.63,CV,1697580851
260,kavaratti,10.5669,72.642,28.18,75,93,2.87,IN,1697580851
261,kodiak,57.79,-152.4072,8.73,87,100,6.69,US,1697580851
262,hauterive,46.0901,3.4459,17.42,81,85,2.97,FR,1697580852
263,zhezqazghan,47.7833,67.7667,9.61,43,53,3.83,KZ,1697580852
264,boyolangu,-8.1181,111.8935,23.85,89,100,2.42,ID,1697580853
265,guiuan,11.0333,125.7247,28.35,70,100,4.07,PH,1697580853
266,midvagur,62.0511,-7.1939,8.46,100,100,4.63,FO,1697580854
267,armyansk,46.1092,33.6921,9.74,48,100,1.49,UA,1697580854
268,nelson bay,-32.7167,152.15,19.44,72,94,5.36,AU,1697580855
269,kill devil hills,36.0307,-75.676,17.21,64,100,4.63,US,1697580855
270,carpinteria,34.3989,-119.5185,33.16,47,0,2.31,US,1697580669
271,keflavik,64.0049,-22.5624,10.24,93,100,14.92,IS,1697580856
272,moramanga,-18.9333,48.2,18.22,99,76,0.57,MG,1697580857
273,padra,22.2333,73.0833,26.5,57,0,2.14,IN,1697580857
274,lompoc,34.6391,-120.4579,32.79,71,0,7.6,US,1697580858
275,dishna,26.1247,32.476,22.24,38,0,2.99,EG,1697580858
276,hobyo,5.3505,48.5268,27.75,80,94,4.93,SO,1697580859
277,penzance,50.1186,-5.5371,15.38,80,100,14.88,GB,1697580860
278,tuzla,44.5428,18.6694,1.98,100,0,1.03,BA,1697580860
279,tazovsky,67.4667,78.7,3.6,98,100,5.83,RU,1697580861
280,greytown,-29.0642,30.5928,8.75,96,18,0.61,ZA,1697580862
281,longboat key,27.4125,-82.659,22.02,55,0,5.14,US,1697580613
282,quelimane,-17.8786,36.8883,22.97,94,75,2.06,MZ,1697580863
283,oliva,38.9197,-0.1194,22.62,87,98,0.89,ES,1697580864
284,darhan,49.4867,105.9228,4.05,46,100,0.66,MN,1697580864
285,brookings,44.3114,-96.7984,21.19,40,0,5.66,US,1697580623
286,nuuk,64.1835,-51.7216,-4.66,63,20,7.72,GL,1697580866
287,bratsk,56.1325,101.6142,1.01,97,100,3.82,RU,1697580866
288,sudzha,51.1976,35.2726,3.23,71,1,4.73,RU,1697580867
289,fada,9.5667,8.3,20.93,89,95,2.34,NG,1697580867
290,ingeniero guillermo n. juarez,-23.9,-61.85,23.94,73,58,7.29,AR,1697580680
291,harper,4.375,-7.7169,25.08,88,19,2.21,LR,1697580868
292,lagoa,39.05,-27.9833,20.44,91,34,12.21,PT,1697580869
